patch,freq_start,freq_end,time_start,time_end,base_confidence,masked_confidence,confidence_drop
0,0,8,0,12,0.5406293869018555,0.5403358340263367,0.00029355287551879883
0,0,8,12,24,0.5406293869018555,0.5397084951400757,0.0009208917617797852
0,0,8,24,36,0.5406293869018555,0.539126992225647,0.001502394676208496
0,0,8,36,48,0.5406293869018555,0.5427024960517883,-0.0020731091499328613
0,0,8,48,60,0.5406293869018555,0.5398726463317871,0.0007567405700683594
0,0,8,60,72,0.5406293869018555,0.5396072864532471,0.0010221004486083984
0,0,8,72,84,0.5406293869018555,0.5406293869018555,0.0
0,0,8,84,96,0.5406293869018555,0.5406293869018555,0.0
0,8,16,0,12,0.5406293869018555,0.5396276116371155,0.0010017752647399902
0,8,16,12,24,0.5406293869018555,0.5415253043174744,-0.0008959174156188965
0,8,16,24,36,0.5406293869018555,0.541497528553009,-0.0008681416511535645
0,8,16,36,48,0.5406293869018555,0.5404903292655945,0.00013905763626098633
0,8,16,48,60,0.5406293869018555,0.5399937629699707,0.0006356239318847656
0,8,16,60,72,0.5406293869018555,0.540841281414032,-0.00021189451217651367
0,8,16,72,84,0.5406293869018555,0.5406293869018555,0.0
0,8,16,84,96,0.5406293869018555,0.5406293869018555,0.0
0,16,24,0,12,0.5406293869018555,0.5413809418678284,-0.0007515549659729004
0,16,24,12,24,0.5406293869018555,0.5427222847938538,-0.002092897891998291
0,16,24,24,36,0.5406293869018555,0.541283905506134,-0.0006545186042785645
0,16,24,36,48,0.5406293869018555,0.5395494699478149,0.0010799169540405273
0,16,24,48,60,0.5406293869018555,0.5395054221153259,0.001123964786529541
0,16,24,60,72,0.5406293869018555,0.5394922494888306,0.0011371374130249023
0,16,24,72,84,0.5406293869018555,0.5406293869018555,0.0
0,16,24,84,96,0.5406293869018555,0.5406293869018555,0.0
0,24,32,0,12,0.5406293869018555,0.5408722162246704,-0.0002428293228149414
0,24,32,12,24,0.5406293869018555,0.5405136942863464,0.0001156926155090332
0,24,32,24,36,0.5406293869018555,0.540475070476532,0.00015431642532348633
0,24,32,36,48,0.5406293869018555,0.5394746661186218,0.0011547207832336426
0,24,32,48,60,0.5406293869018555,0.5393276214599609,0.0013017654418945312
0,24,32,60,72,0.5406293869018555,0.5399029850959778,0.0007264018058776855
0,24,32,72,84,0.5406293869018555,0.5406293869018555,0.0
0,24,32,84,96,0.5406293869018555,0.5406293869018555,0.0
0,32,40,0,12,0.5406293869018555,0.5435433983802795,-0.0029140114784240723
0,32,40,12,24,0.5406293869018555,0.5432686805725098,-0.002639293670654297
0,32,40,24,36,0.5406293869018555,0.540972113609314,-0.0003427267074584961
0,32,40,36,48,0.5406293869018555,0.5407177805900574,-8.83936882019043e-05
0,32,40,48,60,0.5406293869018555,0.5405368804931641,9.250640869140625e-05
0,32,40,60,72,0.5406293869018555,0.5397742390632629,0.0008551478385925293
0,32,40,72,84,0.5406293869018555,0.5406293869018555,0.0
0,32,40,84,96,0.5406293869018555,0.5406293869018555,0.0
0,40,48,0,12,0.5406293869018555,0.5445933938026428,-0.0039640069007873535
0,40,48,12,24,0.5406293869018555,0.5417608022689819,-0.0011314153671264648
0,40,48,24,36,0.5406293869018555,0.5399608612060547,0.0006685256958007812
