epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate
1,1.0857979565858842,0.4442675159235669,0.42393929914295364,0.424396893162294,1.0771765179104276,0.5639097744360902,0.45707049387927395,0.4378320220136665,1e-05
2,1.0618271470069884,0.517515923566879,0.47777716574709056,0.4786271428553886,1.0483080546061199,0.5639097744360902,0.4578597288877663,0.4383996110508654,9.990133642141359e-06
3,1.0230812907218934,0.5828025477707006,0.5153112920685579,0.5164339691207684,1.0078926814926996,0.5714285714285714,0.4728117102742988,0.45458609137424394,9.960573506572391e-06
4,0.9763295143842697,0.5843949044585988,0.502565089023185,0.5037956065913668,0.9553706910875108,0.5714285714285714,0.4731157999923133,0.45506883778106627,9.911436253643445e-06
5,0.9143615558743476,0.5907643312101911,0.4917903753171311,0.4931897021597816,0.8987542589505514,0.5789473684210527,0.4902174165794675,0.47330467780892765,9.842915805643156e-06
6,0.8548351660370826,0.606687898089172,0.5072301728060067,0.508621082332466,0.8418793280919393,0.5864661654135338,0.5052830227807675,0.48933248603513324,9.755282581475769e-06
7,0.7964686244726181,0.6321656050955414,0.5651549825010392,0.5662984478267463,0.7918668058183458,0.631578947368421,0.5876449178344391,0.5766662945781936,9.648882429441258e-06
8,0.7419232070446015,0.6353503184713376,0.5721988735102358,0.5733319339021545,0.7491531007819705,0.6541353383458647,0.6242979242979243,0.6140047922002808,9.5241352623301e-06
9,0.6994492366909981,0.660828025477707,0.6023845614690105,0.6034863904660129,0.7151977949672275,0.6541353383458647,0.6242979242979243,0.6140047922002808,9.381533400219319e-06
10,0.6617683298885823,0.6990445859872612,0.6601430976430976,0.6610290806150679,0.6836822827657064,0.6842105263157895,0.6642817445049073,0.6561490435262013,9.221639627510076e-06
11,0.6318253591656685,0.7133757961783439,0.6891901428177415,0.6899584250343143,0.657747334904141,0.7293233082706767,0.7253944482263067,0.7200440174636727,9.045084971874738e-06
12,0.5970815010368824,0.7452229299363057,0.7293599029995826,0.7300320915985404,0.6311097774240706,0.7593984962406015,0.7583412986966582,0.75448514714692,8.852566213878947e-06
13,0.5747886553406716,0.7515923566878981,0.7356597094731044,0.7363171264802457,0.6213896241452959,0.7443609022556391,0.7450535026222033,0.7404918956638264,8.644843137107058e-06
14,0.5690184645354748,0.7627388535031847,0.7530039996131862,0.7535983700533049,0.5947917931609683,0.8120300751879699,0.8124406457739791,0.8079243693278781,8.422735529643445e-06
15,0.5443230323493481,0.7563694267515924,0.7458817134311783,0.7464826591722549,0.5825455784797668,0.8120300751879699,0.8124406457739791,0.8079243693278781,8.18711994874345e-06
16,0.5323179006576538,0.7579617834394905,0.7434167444900606,0.7440740047048792,0.5720006359948052,0.7819548872180451,0.7798086686975575,0.7739430345946636,7.938926261462368e-06
17,0.5141840610653162,0.7611464968152867,0.7469809971796626,0.7476299497931544,0.5510229965051016,0.8120300751879699,0.8124406457739791,0.8079243693278781,7.679133974894984e-06
18,0.503138605505228,0.7738853503184714,0.7640317076651802,0.764618172795309,0.5497360991107093,0.8120300751879699,0.8124406457739791,0.8079243693278781,7.408768370508578e-06
19,0.5073685966432094,0.7627388535031847,0.7511631453939147,0.7517956632055113,0.536152313152949,0.8120300751879699,0.8124406457739791,0.8079243693278781,7.128896457825364e-06
20,0.4946021355688572,0.7834394904458599,0.7725761578275736,0.77315077930121,0.5275806850857205,0.8120300751879699,0.8124406457739791,0.8079243693278781,6.840622763423391e-06
21,0.4769494753330946,0.7722929936305732,0.7601401004154912,0.760754963248879,0.5183533695009019,0.8120300751879699,0.8124406457739791,0.8079243693278781,6.545084971874738e-06
22,0.47200333734508604,0.7818471337579618,0.7700337124232378,0.7706274929528028,0.5124750170442793,0.8120300751879699,0.8124406457739791,0.8079243693278781,6.243449435824274e-06
23,0.4696860045194626,0.7866242038216561,0.7737534616911472,0.7743500658586782,0.5058751139375899,0.8120300751879699,0.8124406457739791,0.8079243693278781,5.936906572928625e-06
24,0.4630353104323149,0.7786624203821656,0.765880121126854,0.7664882630813961,0.49968594312667847,0.8120300751879699,0.8124406457739791,0.8079243693278781,5.626666167821523e-06
25,0.4567242592573166,0.7914012738853503,0.7793287525023381,0.7799096622971766,0.48844946093029445,0.8120300751879699,0.8124406457739791,0.8079243693278781,5.313952597646568e-06
26,0.45474203377962114,0.7977707006369427,0.7867400466418469,0.7872902322588022,0.48424821098645526,0.8120300751879699,0.8124406457739791,0.8079243693278781,5.000000000000001e-06
