patch,freq_start,freq_end,time_start,time_end,importance
0,0,8,24,36,0.0008234750901860341
4,32,40,72,84,0.0006869980795345279
0,0,8,84,96,0.0006077882162193129
4,8,16,48,60,0.0005909505934540076
0,32,40,72,84,0.0005797219266787571
1,16,24,36,48,0.0005624755048445058
0,48,56,60,72,0.0004910773385997422
4,24,32,0,12,0.0004842228294420378
4,48,56,60,72,0.00047889426638492855
2,0,8,84,96,0.0004678427267204175
1,32,40,72,84,0.0004602499991859187
2,0,8,72,84,0.0004575888994656299
0,8,16,0,12,0.00043040782649679174
3,40,48,72,84,0.00042979608196504844
2,16,24,48,60,0.00042633106201139814
3,48,56,72,84,0.0004227604808137188
3,0,8,0,12,0.0004217205674788039
2,24,32,84,96,0.00042167023571741295
1,48,56,84,96,0.00041878098047306005
4,0,8,24,36,0.0004182483972618089
0,48,56,36,48,0.00041653212900582
4,24,32,12,24,0.0004007758227390952
4,0,8,36,48,0.00039856168306484245
4,16,24,72,84,0.00039340966965710955
0,24,32,84,96,0.00036544171008302074
0,24,32,24,36,0.00036015829543917103
3,32,40,60,72,0.00035742562216513796
2,8,16,0,12,0.00035726458638609575
1,40,48,12,24,0.00035447512110473094
3,56,64,24,36,0.0003421271478597005
1,40,48,60,72,0.00033867815657676536
4,0,8,12,24,0.0003357934454883719
4,40,48,12,24,0.00033402195429425467
3,48,56,48,60,0.0003232671305224756
3,56,64,12,24,0.0003228858206978154
3,16,24,36,48,0.0003175317937414863
4,32,40,60,72,0.0003132516759410047
4,32,40,24,36,0.0003124892670675108
2,48,56,0,12,0.0003074134891309402
2,16,24,24,36,0.00030522717129377423
2,16,24,84,96,0.0003047182109124516
3,16,24,0,12,0.00029929378438767163
2,56,64,60,72,0.00029800615440811435
3,8,16,12,24,0.00028590212611914517
3,48,56,36,48,0.0002837385893387101
0,32,40,36,48,0.0002835961176212657
2,8,16,12,24,0.00028190650819308105
4,8,16,84,96,0.0002818393835330498
4,8,16,60,72,0.000273309259989282
1,32,40,0,12,0.0002729462433325411
