sample_id,method,true_species,correct,high_energy_overlap,low_energy_overlap,clip_border_overlap
000229_seg00_humpback_whale_train_1_000192,smoothgrad,Humpback Whale,False,1.0,0.4718591825942434,0.15434010727506234
000229_seg00_humpback_whale_train_1_000192,input_x_gradient,Humpback Whale,False,1.0,0.8013616967871486,0.0963855421686747
000229_seg00_humpback_whale_train_1_000192,guided_backprop,Humpback Whale,False,1.0,0.5082850283974472,0.12852040517594707
000233_seg02_sperm_whale_test_0_000141,gradcam,Sperm Whale,True,0.1870548157324249,0.26254258284298543,0.0836172189532363
000233_seg02_sperm_whale_test_0_000141,integrated_gradients,Sperm Whale,True,0.2771509167842031,0.23969597241811627,0.08729039335527347
000233_seg02_sperm_whale_test_0_000141,occlusion,Sperm Whale,True,0.27479699476360325,0.219625104348486,0.08454124611064734
000233_seg02_sperm_whale_test_0_000141,lime,Sperm Whale,True,0.21143079315707622,0.2622083981337481,0.08460342146189735
000233_seg02_sperm_whale_test_0_000141,saliency,Sperm Whale,True,0.30271309549241615,0.21925514491205583,0.08196254361603646
000233_seg02_sperm_whale_test_0_000141,smoothgrad,Sperm Whale,True,0.24631850614847428,0.2517838166084712,0.12463944132381964
000233_seg02_sperm_whale_test_0_000141,input_x_gradient,Sperm Whale,True,0.3339675774412056,0.20298348428343102,0.08006697617779131
000233_seg02_sperm_whale_test_0_000141,guided_backprop,Sperm Whale,True,0.2808304599809258,0.2337319345609273,0.10996992150245763
000233_seg03_sperm_whale_test_0_000141,gradcam,Sperm Whale,True,0.18318577137036746,0.2670218600642482,0.11094570242106087
000233_seg03_sperm_whale_test_0_000141,integrated_gradients,Sperm Whale,True,0.2610922787193974,0.23736346516007534,0.1263276836158192
000233_seg03_sperm_whale_test_0_000141,occlusion,Sperm Whale,True,0.24399233377561552,0.23123986436679936,0.130546955624355
000233_seg03_sperm_whale_test_0_000141,lime,Sperm Whale,True,0.2263826606875934,0.2742152466367713,0.07025411061285501
000233_seg03_sperm_whale_test_0_000141,saliency,Sperm Whale,True,0.28876480796800724,0.22379838527125934,0.10525918659926055
000233_seg03_sperm_whale_test_0_000141,smoothgrad,Sperm Whale,True,0.22250852595680182,0.26199317923455856,0.11474043198181129
000233_seg03_sperm_whale_test_0_000141,input_x_gradient,Sperm Whale,True,0.3130253663616752,0.21379156438295024,0.10369709142304545
000233_seg03_sperm_whale_test_0_000141,guided_backprop,Sperm Whale,True,0.2796021256301949,0.2413135304537403,0.09701594222646137
000233_seg01_sperm_whale_test_0_000141,gradcam,Sperm Whale,True,0.20951864196573908,0.2504457018835749,0.10727850554220603
000233_seg01_sperm_whale_test_0_000141,integrated_gradients,Sperm Whale,True,0.2743342516069789,0.23385368839914294,0.13590449954086317
