sample_id,method,perturbation,spearman,top20_iou,confidence_change
000178_seg03_humpback_whale_train_0_000172,smoothgrad,amplitude_scaling,0.9999999999991722,1.0,
000178_seg03_humpback_whale_train_0_000172,smoothgrad,frequency_masking,0.8259575450225715,0.8351254480286738,
000178_seg03_humpback_whale_train_0_000172,input_x_gradient,gaussian_noise,0.7762730396607797,0.6745707277187244,
000178_seg03_humpback_whale_train_0_000172,input_x_gradient,time_shift,0.258280159172868,0.21434924399644234,
000178_seg03_humpback_whale_train_0_000172,input_x_gradient,amplitude_scaling,0.999999999999793,1.0,
000178_seg03_humpback_whale_train_0_000172,input_x_gradient,frequency_masking,0.760599447255457,0.7368197879858657,
000178_seg03_humpback_whale_train_0_000172,guided_backprop,gaussian_noise,0.42458845293022557,0.3855000563761416,
000178_seg03_humpback_whale_train_0_000172,guided_backprop,time_shift,0.001343287666645945,0.12332023036840661,
000178_seg03_humpback_whale_train_0_000172,guided_backprop,amplitude_scaling,0.9999999999998942,1.0,
000178_seg03_humpback_whale_train_0_000172,guided_backprop,frequency_masking,0.8676599764620136,0.7970166715413863,
000136_seg00_humpback_whale_test_0_000186,gradcam,gaussian_noise,0.3825793212221991,0.2,
000136_seg00_humpback_whale_test_0_000186,gradcam,time_shift,0.7768371700532094,1.0,
000136_seg00_humpback_whale_test_0_000186,gradcam,amplitude_scaling,0.9999999999675868,1.0,
000136_seg00_humpback_whale_test_0_000186,gradcam,frequency_masking,0.9697067195264405,1.0,
000136_seg00_humpback_whale_test_0_000186,integrated_gradients,gaussian_noise,0.7155748053605969,0.6130217904961932,
000136_seg00_humpback_whale_test_0_000186,integrated_gradients,time_shift,0.2575921782829914,0.22305165721110778,
000136_seg00_humpback_whale_test_0_000186,integrated_gradients,amplitude_scaling,0.9999999999998966,1.0,
000136_seg00_humpback_whale_test_0_000186,integrated_gradients,frequency_masking,0.8405773515780388,0.8632297194844579,
000136_seg00_humpback_whale_test_0_000186,occlusion,gaussian_noise,0.9428418827096822,0.7123745819397993,
000136_seg00_humpback_whale_test_0_000186,occlusion,time_shift,0.8487644464838534,0.7123745819397993,
000136_seg00_humpback_whale_test_0_000186,occlusion,amplitude_scaling,1.0,1.0,
000136_seg00_humpback_whale_test_0_000186,occlusion,frequency_masking,0.8474468827412339,0.8438061041292639,
000136_seg00_humpback_whale_test_0_000186,lime,gaussian_noise,0.9855215307665153,0.841726618705036,
000136_seg00_humpback_whale_test_0_000186,lime,time_shift,0.7829806382386547,0.6623376623376623,
000136_seg00_humpback_whale_test_0_000186,lime,amplitude_scaling,1.0,1.0,
000136_seg00_humpback_whale_test_0_000186,lime,frequency_masking,0.8075966095548053,0.8077601410934744,
000136_seg00_humpback_whale_test_0_000186,saliency,gaussian_noise,0.8379129727263882,0.7066666666666667,
000136_seg00_humpback_whale_test_0_000186,saliency,time_shift,0.12751461378752255,0.15957346418797774,
000136_seg00_humpback_whale_test_0_000186,saliency,amplitude_scaling,0.9999999999998966,1.0,
000136_seg00_humpback_whale_test_0_000186,saliency,frequency_masking,0.801156224053372,0.800967316429723,
000136_seg00_humpback_whale_test_0_000186,smoothgrad,gaussian_noise,0.9118453600878406,0.7272982850716896,
000136_seg00_humpback_whale_test_0_000186,smoothgrad,time_shift,0.47096944129169316,0.2944274728747498,
000136_seg00_humpback_whale_test_0_000186,smoothgrad,amplitude_scaling,0.9999999999998966,1.0,
000136_seg00_humpback_whale_test_0_000186,smoothgrad,frequency_masking,0.7764782458281628,0.7711155952724128,
000136_seg00_humpback_whale_test_0_000186,input_x_gradient,gaussian_noise,0.7348517949258073,0.6288441145281018,
