sample_id,method,topk_percent,baseline,base_confidence,masked_confidence,confidence_drop,masked_confidence_std
000178_seg04_humpback_whale_train_0_000172,gradcam,5,xai,0.9942983984947205,0.9925985336303711,0.0016998648643493652,
000178_seg04_humpback_whale_train_0_000172,gradcam,5,random,0.9942983984947205,0.999174952507019,-0.004876554012298584,0.00018659485706121347
000178_seg04_humpback_whale_train_0_000172,gradcam,10,xai,0.9942983984947205,0.9808486700057983,0.01344972848892212,
000178_seg04_humpback_whale_train_0_000172,gradcam,10,random,0.9942983984947205,0.9989485800266266,-0.004650181531906106,0.0001635108690285374
000178_seg04_humpback_whale_train_0_000172,gradcam,20,xai,0.9942983984947205,0.9800999760627747,0.0141984224319458,
000178_seg04_humpback_whale_train_0_000172,gradcam,20,random,0.9942983984947205,0.997291374206543,-0.002992975711822554,0.0008025214367210278
000178_seg04_humpback_whale_train_0_000172,gradcam,30,xai,0.9942983984947205,0.9466866850852966,0.04761171340942383,
000178_seg04_humpback_whale_train_0_000172,gradcam,30,random,0.9942983984947205,0.9940298140048981,0.0002685844898223655,0.002493813175712265
000178_seg04_humpback_whale_train_0_000172,gradcam,40,xai,0.9942983984947205,0.8728812336921692,0.12141716480255127,
000178_seg04_humpback_whale_train_0_000172,gradcam,40,random,0.9942983984947205,0.9894194960594177,0.004878902435302757,0.0032260477297461655
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,5,xai,0.9942983984947205,0.9990127086639404,-0.004714310169219971,
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,5,random,0.9942983984947205,0.9992213368415832,-0.0049229383468627486,0.00014100750267833574
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,10,xai,0.9942983984947205,0.998885452747345,-0.004587054252624512,
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,10,random,0.9942983984947205,0.9988475441932678,-0.004549145698547363,0.00032346957684437777
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,20,xai,0.9942983984947205,0.9975830316543579,-0.003284633159637451,
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,20,random,0.9942983984947205,0.9980477690696716,-0.003749370574951172,0.0006730769946557514
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,30,xai,0.9942983984947205,0.9952240586280823,-0.0009256601333618164,
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,30,random,0.9942983984947205,0.995183390378952,-0.000884991884231523,0.0019496296032279364
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,40,xai,0.9942983984947205,0.993285059928894,0.001013338565826416,
000178_seg04_humpback_whale_train_0_000172,integrated_gradients,40,random,0.9942983984947205,0.98971529006958,0.004583108425140425,0.002614976767963509
000178_seg04_humpback_whale_train_0_000172,occlusion,5,xai,0.9942983984947205,0.9884068369865417,0.005891561508178711,
000178_seg04_humpback_whale_train_0_000172,occlusion,5,random,0.9942983984947205,0.9991155326366424,-0.004817134141921975,0.00023821939321216258
000178_seg04_humpback_whale_train_0_000172,occlusion,10,xai,0.9942983984947205,0.9920276999473572,0.0022706985473632812,
000178_seg04_humpback_whale_train_0_000172,occlusion,10,random,0.9942983984947205,0.9987928986549377,-0.004494500160217241,0.0001674648365829059
000178_seg04_humpback_whale_train_0_000172,occlusion,20,xai,0.9942983984947205,0.9929674863815308,0.0013309121131896973,
000178_seg04_humpback_whale_train_0_000172,occlusion,20,random,0.9942983984947205,0.9975532412528991,-0.0032548427581786665,0.0007229793081171861
000178_seg04_humpback_whale_train_0_000172,occlusion,30,xai,0.9942983984947205,0.9951086640357971,-0.0008102655410766602,
000178_seg04_humpback_whale_train_0_000172,occlusion,30,random,0.9942983984947205,0.9954505503177643,-0.0011521518230438454,0.0011415279333834977
000178_seg04_humpback_whale_train_0_000172,occlusion,40,xai,0.9942983984947205,0.9963217973709106,-0.0020233988761901855,
000178_seg04_humpback_whale_train_0_000172,occlusion,40,random,0.9942983984947205,0.9908066093921661,0.0034917891025543213,0.0017223385157989228
000178_seg04_humpback_whale_train_0_000172,lime,5,xai,0.9942983984947205,0.9969848990440369,-0.0026865005493164062,
000178_seg04_humpback_whale_train_0_000172,lime,5,random,0.9942983984947205,0.9991035223007202,-0.004805123805999734,0.00014572026041784103
000178_seg04_humpback_whale_train_0_000172,lime,10,xai,0.9942983984947205,0.9977795481681824,-0.003481149673461914,
000178_seg04_humpback_whale_train_0_000172,lime,10,random,0.9942983984947205,0.9988344430923461,-0.004536044597625688,0.00026447808657602945
000178_seg04_humpback_whale_train_0_000172,lime,20,xai,0.9942983984947205,0.9987497329711914,-0.004451334476470947,
000178_seg04_humpback_whale_train_0_000172,lime,20,random,0.9942983984947205,0.9979033470153809,-0.0036049485206604004,0.0004283548754985745
000178_seg04_humpback_whale_train_0_000172,lime,30,xai,0.9942983984947205,0.9990123510360718,-0.004713952541351318,
000178_seg04_humpback_whale_train_0_000172,lime,30,random,0.9942983984947205,0.9957883417606354,-0.0014899432659148948,0.0008222788755665605
000178_seg04_humpback_whale_train_0_000172,lime,40,xai,0.9942983984947205,0.9981641173362732,-0.0038657188415527344,
000178_seg04_humpback_whale_train_0_000172,lime,40,random,0.9942983984947205,0.9906040132045746,0.003694385290145874,0.00299200093967463
000178_seg04_humpback_whale_train_0_000172,saliency,5,xai,0.9942983984947205,0.9996480941772461,-0.005349695682525635,
000178_seg04_humpback_whale_train_0_000172,saliency,5,random,0.9942983984947205,0.9991319298744201,-0.004833531379699663,0.00016514882086182572
000178_seg04_humpback_whale_train_0_000172,saliency,10,xai,0.9942983984947205,0.9995619654655457,-0.005263566970825195,
000178_seg04_humpback_whale_train_0_000172,saliency,10,random,0.9942983984947205,0.9988245844841004,-0.004526185989379927,0.00026901496568881384
000178_seg04_humpback_whale_train_0_000172,saliency,20,xai,0.9942983984947205,0.9990450739860535,-0.004746675491333008,
000178_seg04_humpback_whale_train_0_000172,saliency,20,random,0.9942983984947205,0.9976515173912048,-0.003353118896484375,0.0005380337597613072
000178_seg04_humpback_whale_train_0_000172,saliency,30,xai,0.9942983984947205,0.9974930286407471,-0.0031946301460266113,
000178_seg04_humpback_whale_train_0_000172,saliency,30,random,0.9942983984947205,0.995108711719513,-0.0008103132247925249,0.001187139251472306
000178_seg04_humpback_whale_train_0_000172,saliency,40,xai,0.9942983984947205,0.9972413778305054,-0.002942979335784912,
000178_seg04_humpback_whale_train_0_000172,saliency,40,random,0.9942983984947205,0.9896218240261078,0.004676574468612693,0.004382228042039888
000178_seg04_humpback_whale_train_0_000172,smoothgrad,5,xai,0.9942983984947205,0.9992920160293579,-0.004993617534637451,
000178_seg04_humpback_whale_train_0_000172,smoothgrad,5,random,0.9942983984947205,0.9990232646465301,-0.00472486615180967,0.00017287733770291245
000178_seg04_humpback_whale_train_0_000172,smoothgrad,10,xai,0.9942983984947205,0.9995697140693665,-0.005271315574645996,
000178_seg04_humpback_whale_train_0_000172,smoothgrad,10,random,0.9942983984947205,0.9988986432552338,-0.00460024476051335,0.0002511174965666341
000178_seg04_humpback_whale_train_0_000172,smoothgrad,20,xai,0.9942983984947205,0.9993054866790771,-0.0050070881843566895,
000178_seg04_humpback_whale_train_0_000172,smoothgrad,20,random,0.9942983984947205,0.9975934565067291,-0.003295058012008689,0.0008905104512991481
000178_seg04_humpback_whale_train_0_000172,smoothgrad,30,xai,0.9942983984947205,0.9991857409477234,-0.00488734245300293,
000178_seg04_humpback_whale_train_0_000172,smoothgrad,30,random,0.9942983984947205,0.995293116569519,-0.0009947180747985618,0.0006443837979965897
000178_seg04_humpback_whale_train_0_000172,smoothgrad,40,xai,0.9942983984947205,0.9988698363304138,-0.004571437835693359,
000178_seg04_humpback_whale_train_0_000172,smoothgrad,40,random,0.9942983984947205,0.9912167310714721,0.0030816674232483354,0.003304754449278074
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,5,xai,0.9942983984947205,0.9994876384735107,-0.005189239978790283,
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,5,random,0.9942983984947205,0.999040812253952,-0.004742413759231567,0.0001607405772654811
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,10,xai,0.9942983984947205,0.9990986585617065,-0.004800260066986084,
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,10,random,0.9942983984947205,0.9988458096981049,-0.004547411203384422,0.0002099417952445377
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,20,xai,0.9942983984947205,0.9969895482063293,-0.0026911497116088867,
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,20,random,0.9942983984947205,0.9978812456130981,-0.003582847118377641,0.0005680013062265544
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,30,xai,0.9942983984947205,0.9901485443115234,0.0041498541831970215,
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,30,random,0.9942983984947205,0.9948222517967225,-0.0005238533020019975,0.0010938531551463796
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,40,xai,0.9942983984947205,0.9883283972740173,0.005970001220703125,
000178_seg04_humpback_whale_train_0_000172,input_x_gradient,40,random,0.9942983984947205,0.9925120234489441,0.0017863750457763894,0.002639796041431654
000178_seg04_humpback_whale_train_0_000172,guided_backprop,5,xai,0.9942983984947205,0.9928866028785706,0.0014117956161499023,
000178_seg04_humpback_whale_train_0_000172,guided_backprop,5,random,0.9942983984947205,0.9990787327289581,-0.0047803342342376265,0.00015865867057900955
000178_seg04_humpback_whale_train_0_000172,guided_backprop,10,xai,0.9942983984947205,0.9958165287971497,-0.0015181303024291992,
000178_seg04_humpback_whale_train_0_000172,guided_backprop,10,random,0.9942983984947205,0.998997586965561,-0.0046991884708404985,0.00017903643325332616
000178_seg04_humpback_whale_train_0_000172,guided_backprop,20,xai,0.9942983984947205,0.9985061287879944,-0.004207730293273926,
000178_seg04_humpback_whale_train_0_000172,guided_backprop,20,random,0.9942983984947205,0.9977183103561401,-0.0034199118614196555,0.0005813671142300454
000178_seg04_humpback_whale_train_0_000172,guided_backprop,30,xai,0.9942983984947205,0.9988725781440735,-0.004574179649353027,
000178_seg04_humpback_whale_train_0_000172,guided_backprop,30,random,0.9942983984947205,0.9953459560871124,-0.0010475575923919456,0.0010628561580550637
000178_seg04_humpback_whale_train_0_000172,guided_backprop,40,xai,0.9942983984947205,0.9994487166404724,-0.005150318145751953,
000178_seg04_humpback_whale_train_0_000172,guided_backprop,40,random,0.9942983984947205,0.9890068292617797,0.005291569232940718,0.0020031082896761537
000178_seg03_humpback_whale_train_0_000172,gradcam,5,xai,0.9942983984947205,0.9925985336303711,0.0016998648643493652,
000178_seg03_humpback_whale_train_0_000172,gradcam,5,random,0.9942983984947205,0.9991322040557862,-0.004833805561065718,0.00010535685987441966
000178_seg03_humpback_whale_train_0_000172,gradcam,10,xai,0.9942983984947205,0.9808486700057983,0.01344972848892212,
000178_seg03_humpback_whale_train_0_000172,gradcam,10,random,0.9942983984947205,0.9986104011535645,-0.004312002658844016,0.0002866857896702142
000178_seg03_humpback_whale_train_0_000172,gradcam,20,xai,0.9942983984947205,0.9800999760627747,0.0141984224319458,
000178_seg03_humpback_whale_train_0_000172,gradcam,20,random,0.9942983984947205,0.9976849734783173,-0.003386574983596846,0.0004190853167437908
000178_seg03_humpback_whale_train_0_000172,gradcam,30,xai,0.9942983984947205,0.9466866850852966,0.04761171340942383,
000178_seg03_humpback_whale_train_0_000172,gradcam,30,random,0.9942983984947205,0.9953313291072845,-0.0010329306125640425,0.0009229814563724595
